datetime,county,state,fips,cases,deaths,casecount
05/01/2020,Nueces,Texas,48355,106,3,2
05/02/2020,Nueces,Texas,48355,107,3,1
05/03/2020,Nueces,Texas,48355,107,3,0
05/04/2020,Nueces,Texas,48355,113,3,6
05/05/2020,Nueces,Texas,48355,114,3,1
05/06/2020,Nueces,Texas,48355,117,3,3
05/07/2020,Nueces,Texas,48355,123,3,6
05/08/2020,Nueces,Texas,48355,128,3,5
05/09/2020,Nueces,Texas,48355,128,3,0
05/10/2020,Nueces,Texas,48355,132,3,4
05/11/2020,Nueces,Texas,48355,147,3,15
05/12/2020,Nueces,Texas,48355,174,3,27
05/13/2020,Nueces,Texas,48355,186,3,12
05/14/2020,Nueces,Texas,48355,209,3,23
05/15/2020,Nueces,Texas,48355,231,3,22
05/16/2020,Nueces,Texas,48355,233,3,2
05/17/2020,Nueces,Texas,48355,234,3,1
05/18/2020,Nueces,Texas,48355,242,3,8
05/19/2020,Nueces,Texas,48355,248,3,6
05/20/2020,Nueces,Texas,48355,256,3,8
05/21/2020,Nueces,Texas,48355,260,3,4
05/22/2020,Nueces,Texas,48355,260,3,0
05/23/2020,Nueces,Texas,48355,262,3,2
05/24/2020,Nueces,Texas,48355,262,3,0
05/25/2020,Nueces,Texas,48355,263,3,1
05/26/2020,Nueces,Texas,48355,266,3,3
05/27/2020,Nueces,Texas,48355,268,3,2
05/28/2020,Nueces,Texas,48355,268,3,0
05/29/2020,Nueces,Texas,48355,268,3,0
05/30/2020,Nueces,Texas,48355,274,3,6
05/31/2020,Nueces,Texas,48355,275,3,1
06/01/2020,Nueces,Texas,48355,275,3,0
06/02/2020,Nueces,Texas,48355,280,3,5
06/03/2020,Nueces,Texas,48355,285,3,5
06/04/2020,Nueces,Texas,48355,286,3,1
06/05/2020,Nueces,Texas,48355,289,3,3
06/06/2020,Nueces,Texas,48355,289,3,0
06/07/2020,Nueces,Texas,48355,289,3,0
06/08/2020,Nueces,Texas,48355,300,3,11
06/09/2020,Nueces,Texas,48355,303,3,3
06/10/2020,Nueces,Texas,48355,310,3,7
06/11/2020,Nueces,Texas,48355,321,3,11
06/12/2020,Nueces,Texas,48355,336,3,15
06/13/2020,Nueces,Texas,48355,336,3,0
06/14/2020,Nueces,Texas,48355,336,3,0
06/15/2020,Nueces,Texas,48355,360,4,24
06/16/2020,Nueces,Texas,48355,391,4,31
06/17/2020,Nueces,Texas,48355,420,4,29
06/18/2020,Nueces,Texas,48355,485,5,65
06/19/2020,Nueces,Texas,48355,548,6,63
06/20/2020,Nueces,Texas,48355,597,6,49
06/21/2020,Nueces,Texas,48355,633,6,36
06/22/2020,Nueces,Texas,48355,742,6,109
06/23/2020,Nueces,Texas,48355,813,6,71
06/24/2020,Nueces,Texas,48355,1028,6,215
06/25/2020,Nueces,Texas,48355,1028,6,0
06/26/2020,Nueces,Texas,48355,1499,6,471
06/27/2020,Nueces,Texas,48355,1727,6,228
06/28/2020,Nueces,Texas,48355,1915,7,188
06/29/2020,Nueces,Texas,48355,2120,8,205
06/30/2020,Nueces,Texas,48355,2394,8,274
07/01/2020,Nueces,Texas,48355,2756,9,362
07/02/2020,Nueces,Texas,48355,3018,9,262
07/03/2020,Nueces,Texas,48355,3272,10,254
07/04/2020,Nueces,Texas,48355,3593,11,321
07/05/2020,Nueces,Texas,48355,3796,14,203
07/06/2020,Nueces,Texas,48355,4084,18,288
07/07/2020,Nueces,Texas,48355,4472,27,388
07/08/2020,Nueces,Texas,48355,4917,35,445
07/09/2020,Nueces,Texas,48355,5260,37,343
07/10/2020,Nueces,Texas,48355,5672,42,412
07/11/2020,Nueces,Texas,48355,5965,50,293
07/12/2020,Nueces,Texas,48355,6174,54,209
07/13/2020,Nueces,Texas,48355,6427,58,253
07/14/2020,Nueces,Texas,48355,7032,64,605
07/15/2020,Nueces,Texas,48355,7532,70,500
07/16/2020,Nueces,Texas,48355,7861,75,329
07/17/2020,Nueces,Texas,48355,8171,82,310
07/18/2020,Nueces,Texas,48355,8407,90,236
07/19/2020,Nueces,Texas,48355,8579,95,172
07/20/2020,Nueces,Texas,48355,8816,103,237
07/21/2020,Nueces,Texas,48355,9105,108,289
07/22/2020,Nueces,Texas,48355,9607,116,502
07/23/2020,Nueces,Texas,48355,9961,124,354
07/24/2020,Nueces,Texas,48355,10136,129,175
07/25/2020,Nueces,Texas,48355,10351,137,215
07/26/2020,Nueces,Texas,48355,10417,141,66
07/27/2020,Nueces,Texas,48355,10647,148,230
07/28/2020,Nueces,Texas,48355,10901,154,254
07/29/2020,Nueces,Texas,48355,11160,162,259
07/30/2020,Nueces,Texas,48355,11390,166,230
07/31/2020,Nueces,Texas,48355,12301,176,911
08/01/2020,Nueces,Texas,48355,12478,182,177
08/02/2020,Nueces,Texas,48355,12575,195,97
08/03/2020,Nueces,Texas,48355,12813,204,238
08/04/2020,Nueces,Texas,48355,13062,212,249
08/05/2020,Nueces,Texas,48355,13321,217,259
08/06/2020,Nueces,Texas,48355,13552,227,231
08/07/2020,Nueces,Texas,48355,13918,229,366
08/08/2020,Nueces,Texas,48355,14073,234,155
08/09/2020,Nueces,Texas,48355,15244,236,1171
08/10/2020,Nueces,Texas,48355,15423,243,179
08/11/2020,Nueces,Texas,48355,15731,249,308
08/12/2020,Nueces,Texas,48355,16234,259,503
08/13/2020,Nueces,Texas,48355,16403,270,169
08/14/2020,Nueces,Texas,48355,16527,277,124
08/15/2020,Nueces,Texas,48355,16878,279,351
08/16/2020,Nueces,Texas,48355,17044,287,166
08/17/2020,Nueces,Texas,48355,17124,290,80
08/18/2020,Nueces,Texas,48355,17322,295,198
08/19/2020,Nueces,Texas,48355,17494,300,172
08/20/2020,Nueces,Texas,48355,17600,303,106
08/21/2020,Nueces,Texas,48355,17854,306,254
08/22/2020,Nueces,Texas,48355,17854,306,0
08/23/2020,Nueces,Texas,48355,18069,313,215
08/24/2020,Nueces,Texas,48355,18181,316,112
08/25/2020,Nueces,Texas,48355,18349,327,168
08/26/2020,Nueces,Texas,48355,18444,336,95
08/27/2020,Nueces,Texas,48355,18536,339,92
08/28/2020,Nueces,Texas,48355,18664,348,128
08/29/2020,Nueces,Texas,48355,18664,348,0
08/30/2020,Nueces,Texas,48355,18830,352,166
08/31/2020,Nueces,Texas,48355,18886,353,56
09/01/2020,Nueces,Texas,48355,18992,363,106
09/02/2020,Nueces,Texas,48355,19017,368,25
09/03/2020,Nueces,Texas,48355,19050,368,33
09/04/2020,Nueces,Texas,48355,19076,370,26
09/05/2020,Nueces,Texas,48355,19287,373,211
09/06/2020,Nueces,Texas,48355,19287,373,0
09/07/2020,Nueces,Texas,48355,19308,376,21
09/08/2020,Nueces,Texas,48355,19389,381,81
09/09/2020,Nueces,Texas,48355,19488,382,99
09/10/2020,Nueces,Texas,48355,19509,383,21
09/11/2020,Nueces,Texas,48355,19557,385,48
09/12/2020,Nueces,Texas,48355,19557,385,0
09/13/2020,Nueces,Texas,48355,19635,390,78
09/14/2020,Nueces,Texas,48355,19635,390,0
09/15/2020,Nueces,Texas,48355,19845,397,210
09/16/2020,Nueces,Texas,48355,19875,400,30
09/17/2020,Nueces,Texas,48355,19913,401,38
09/18/2020,Nueces,Texas,48355,19956,401,43
09/19/2020,Nueces,Texas,48355,19986,403,30
09/20/2020,Nueces,Texas,48355,20002,403,16
09/21/2020,Nueces,Texas,48355,20241,405,239
09/22/2020,Nueces,Texas,48355,20270,407,29
09/23/2020,Nueces,Texas,48355,20270,407,0
09/24/2020,Nueces,Texas,48355,20434,410,164
09/25/2020,Nueces,Texas,48355,20451,411,17
09/26/2020,Nueces,Texas,48355,20451,411,0
09/27/2020,Nueces,Texas,48355,20456,412,5
09/28/2020,Nueces,Texas,48355,20472,416,16
09/29/2020,Nueces,Texas,48355,20534,417,62
09/30/2020,Nueces,Texas,48355,20541,417,7
10/01/2020,Nueces,Texas,48355,20541,417,0
10/02/2020,Nueces,Texas,48355,20661,419,120
10/03/2020,Nueces,Texas,48355,20689,419,28
10/04/2020,Nueces,Texas,48355,20689,419,0
10/05/2020,Nueces,Texas,48355,20707,419,18
10/06/2020,Nueces,Texas,48355,20727,421,20
10/07/2020,Nueces,Texas,48355,20745,423,18
10/08/2020,Nueces,Texas,48355,20767,423,22
10/09/2020,Nueces,Texas,48355,20783,425,16
10/10/2020,Nueces,Texas,48355,20783,425,0
10/11/2020,Nueces,Texas,48355,20790,426,7
10/12/2020,Nueces,Texas,48355,20814,427,24
10/13/2020,Nueces,Texas,48355,20835,432,21
10/14/2020,Nueces,Texas,48355,20846,432,11
10/15/2020,Nueces,Texas,48355,20887,432,41
10/16/2020,Nueces,Texas,48355,20931,435,44
10/17/2020,Nueces,Texas,48355,20982,435,51
10/18/2020,Nueces,Texas,48355,20993,436,11
10/19/2020,Nueces,Texas,48355,21005,437,12
10/20/2020,Nueces,Texas,48355,21027,438,22
10/21/2020,Nueces,Texas,48355,21058,438,31
10/22/2020,Nueces,Texas,48355,21087,438,29
10/23/2020,Nueces,Texas,48355,21125,439,38
10/24/2020,Nueces,Texas,48355,21166,440,41
10/25/2020,Nueces,Texas,48355,21166,440,0
10/26/2020,Nueces,Texas,48355,21187,440,21
10/27/2020,Nueces,Texas,48355,21219,442,32
10/28/2020,Nueces,Texas,48355,21247,442,28
10/29/2020,Nueces,Texas,48355,21286,442,39
10/30/2020,Nueces,Texas,48355,21312,442,26
10/31/2020,Nueces,Texas,48355,21342,443,30
